family,magnitude,method,backgrounds,detection_rate,correct_group_rate,mean_delay_including_misses,matched_background_detection_rate,detection_excess_over_background,localization_excess_over_background,missed_fraction,house_recall,false_house_instances,false_group_instances,median_peak_detection_score,negative_alarm_rate,any_negative_alarm
cancel_approx,1.0,M0,8,0.125,0.0,6.375,0.125,0.0,0.0,0.875,0.0,0.0,4.125,0.6009452074264571,0.109375,1.0
cancel_approx,1.0,M1,8,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.125,0.625,0.5914232733112366,0.05208333333333333,0.875
cancel_approx,1.0,M2,8,0.0,0.0,7.0,0.125,-0.125,0.0,1.0,0.0,0.125,1.375,0.517763074736333,0.078125,1.0
cancel_approx,1.0,M3,8,0.125,0.0,6.375,0.125,0.0,0.0,0.875,0.0,0.625,2.0,0.7095358022042119,0.08333333333333333,1.0
cancel_approx,1.0,M3_fixed,8,0.125,0.0,6.375,0.125,0.0,0.0,0.875,0.0,0.625,2.0,0.7095358022042119,0.08333333333333333,1.0
cancel_approx,1.0,M4,8,0.375,0.0,5.0,0.375,0.0,0.0,0.625,0.0,1.0,2.375,0.71420930026064,0.125,1.0
cancel_approx,3.0,M0,8,0.125,0.0,6.375,0.125,0.0,0.0,0.875,0.0,0.0,4.125,0.6004959396996754,0.109375,1.0
cancel_approx,3.0,M1,8,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.125,0.625,0.5909631869080998,0.05208333333333333,0.875
cancel_approx,3.0,M2,8,0.0,0.0,7.0,0.125,-0.125,0.0,1.0,0.0,0.125,1.375,0.5173044284004706,0.078125,1.0
cancel_approx,3.0,M3,8,0.125,0.0,6.375,0.125,0.0,0.0,0.875,0.0,0.625,2.0,0.7094690745103123,0.08333333333333333,1.0
cancel_approx,3.0,M3_fixed,8,0.125,0.0,6.375,0.125,0.0,0.0,0.875,0.0,0.625,2.0,0.7094690745103123,0.08333333333333333,1.0
cancel_approx,3.0,M4,8,0.375,0.0,5.0,0.375,0.0,0.0,0.625,0.0,1.0,2.375,0.7139552557446971,0.125,1.0
cancel_exact,1.0,M0,8,0.25,0.0,5.875,0.25,0.0,0.0,0.75,0.0,0.0,4.25,0.6999871432354402,0.109375,1.0
cancel_exact,1.0,M1,8,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.125,0.625,0.5684616868577554,0.05208333333333333,0.875
cancel_exact,1.0,M2,8,0.25,0.0,5.875,0.25,0.0,0.0,0.75,0.0,0.125,1.5,0.5637030703085625,0.078125,1.0
cancel_exact,1.0,M3,8,0.125,0.0,6.5,0.125,0.0,0.0,0.875,0.0,0.625,2.0,0.6314826283578577,0.08333333333333333,1.0
cancel_exact,1.0,M3_fixed,8,0.125,0.0,6.5,0.125,0.0,0.0,0.875,0.0,0.625,2.0,0.6314826283578577,0.08333333333333333,1.0
cancel_exact,1.0,M4,8,0.375,0.0,5.25,0.375,0.0,0.0,0.625,0.0,0.75,2.125,0.6593799521689234,0.13541666666666666,1.0
cancel_exact,3.0,M0,8,0.25,0.0,5.875,0.25,0.0,0.0,0.75,0.0,0.0,4.25,0.6999871432354408,0.109375,1.0
cancel_exact,3.0,M1,8,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.125,0.625,0.5684616868577559,0.05208333333333333,0.875
cancel_exact,3.0,M2,8,0.25,0.0,5.875,0.25,0.0,0.0,0.75,0.0,0.125,1.5,0.5637030703085629,0.078125,1.0
cancel_exact,3.0,M3,8,0.125,0.0,6.5,0.125,0.0,0.0,0.875,0.0,0.625,2.0,0.6314826283578577,0.08333333333333333,1.0
cancel_exact,3.0,M3_fixed,8,0.125,0.0,6.5,0.125,0.0,0.0,0.875,0.0,0.625,2.0,0.6314826283578577,0.08333333333333333,1.0
cancel_exact,3.0,M4,8,0.375,0.0,5.25,0.375,0.0,0.0,0.625,0.0,0.75,2.125,0.6593799521689234,0.13541666666666666,1.0
delayed,1.0,M0,8,0.375,0.125,5.375,0.375,0.0,0.0,0.625,0.0,0.0,4.125,0.7825634988506454,0.109375,1.0
delayed,1.0,M1,8,0.125,0.0,6.75,0.125,0.0,0.0,0.875,0.0,0.125,0.625,0.6812486000532056,0.05208333333333333,0.875
delayed,1.0,M2,8,0.375,0.0,5.5,0.375,0.0,0.0,0.625,0.0,0.125,1.5,0.6302022133928609,0.078125,1.0
delayed,1.0,M3,8,0.25,0.0,6.0,0.25,0.0,0.0,0.75,0.0,0.625,2.0,0.7437854779771986,0.08333333333333333,1.0
