cohort,family,method,episodes,detection,localization,delay_hours,negative_alarms,negative_steps,affected_mae,regional_mae,household_mae
B,cancel_approx,M0,16,2,0,3.1875,42,384,0.15124345512309728,43.28444906516218,0.12641817008530806
B,cancel_approx,M1,16,0,0,3.5,20,384,0.14842642973609177,37.17030855228564,0.12321859962989833
B,cancel_approx,M2,16,0,0,3.5,30,384,0.14300389735603375,35.97905756419684,0.11991843811791872
B,cancel_approx,M3,16,2,0,3.1875,32,384,0.1440469215387628,35.98600734825939,0.11950558935731156
B,cancel_approx,M3_fixed,16,2,0,3.1875,32,384,0.1440469215387628,35.98600734825939,0.11950558935731156
B,cancel_approx,M4,16,6,0,2.5,48,384,0.11843935108401779,32.579462738188,0.1049451558576606
B,cancel_exact,M0,16,4,0,2.9375,42,384,0.15692771835354102,43.68931889047129,0.1265699307760993
B,cancel_exact,M1,16,0,0,3.5,20,384,0.1533998787152447,38.08385136524283,0.12348048861513969
B,cancel_exact,M2,16,4,0,2.9375,30,384,0.14836596904957988,36.418996104217584,0.12010339301990465
B,cancel_exact,M3,16,2,0,3.25,32,384,0.1489921687984931,36.83325107989464,0.11972671368965698
B,cancel_exact,M3_fixed,16,2,0,3.25,32,384,0.1489921687984931,36.83325107989464,0.11972671368965698
B,cancel_exact,M4,16,6,0,2.625,52,384,0.12220291609165906,32.90254015189353,0.1050881404732259
B,delayed,M0,16,6,2,2.6875,42,384,0.1432577398882262,43.765233954150546,0.12484012987764306
B,delayed,M1,16,2,0,3.375,20,384,0.14321727467856032,38.238349717892696,0.12170962084362497
B,delayed,M2,16,6,0,2.75,30,384,0.13869601835567782,36.06143041014236,0.11820987003769544
B,delayed,M3,16,4,0,3.0,32,384,0.1360412430150076,36.713826787792485,0.1178740784218796
B,delayed,M3_fixed,16,4,0,3.0,32,384,0.1360412430150076,36.713826787792485,0.1178740784218796
B,delayed,M4,16,6,0,2.4375,52,384,0.11478693910299359,32.61045561112847,0.10341282241089314
B,localized,M0,16,7,4,2.28125,58,544,0.23881020099721312,49.59797371046943,0.1324527989087547
B,localized,M1,16,4,2,2.9375,22,544,0.23821631831751455,41.57059630088963,0.129742675921678
B,localized,M2,16,5,2,2.8125,40,544,0.23462370612274194,39.20648654264928,0.1266833910924881
B,localized,M3,16,5,3,2.625,44,544,0.23070599710935574,40.03217311670642,0.12598761321204177
B,localized,M3_fixed,16,5,3,2.625,44,544,0.23070599710935574,40.03217311670642,0.12598761321204177
B,localized,M4,16,6,3,2.34375,66,544,0.18595418993730095,36.35134299632935,0.11111523151751976
B,none,M0,8,3,0,2.875,36,384,,46.06993575326818,0.13289374624292793
B,none,M1,8,1,0,3.375,15,384,,41.712363264034735,0.13014334210271283
B,none,M2,8,3,0,2.9375,25,384,,39.392247918820864,0.12676289674337737
B,none,M3,8,2,0,3.125,30,384,,39.14632177196766,0.12650305615565
B,none,M3_fixed,8,2,0,3.125,30,384,,39.14632177196766,0.12650305615565
B,none,M4,8,3,0,2.625,41,384,,34.18745114716162,0.11109254622480987
B,ramp,M0,16,6,2,2.5,44,384,0.19826920942464998,44.021516368453135,0.1252430477274246
B,ramp,M1,16,2,0,3.25,20,384,0.19777009756880914,36.51371625485074,0.12183547746211043
B,ramp,M2,16,6,0,2.5625,30,384,0.19054929272073617,35.159525360678245,0.11834125021624675
B,ramp,M3,16,4,0,2.875,33,384,0.18818730454831703,34.8703617803793,0.11802308208391135
B,ramp,M3_fixed,16,4,0,2.875,33,384,0.18818730454831703,34.8703617803793,0.11802308208391135
B,ramp,M4,16,6,0,2.5,55,384,0.1515472245738791,31.496660972126428,0.10340258902386051
B,regional,M0,16,12,12,1.03125,58,528,0.1302215745822318,75.9973411744562,0.1302215745822318
B,regional,M1,16,9,9,1.625,31,528,0.12553408512419284,70.78848237837477,0.12553408512419284
B,regional,M2,16,12,12,1.28125,41,528,0.12153595299806277,75.50855181577653,0.12153595299806277
B,regional,M3,16,12,12,1.03125,53,528,0.12096909023478393,76.48510076683522,0.12096909023478393
B,regional,M3_fixed,16,12,12,1.03125,53,528,0.12096909023478393,76.48510076683522,0.12096909023478393
B,regional,M4,16,12,12,1.03125,66,528,0.10619905998505175,91.26221890678976,0.10619905998505175
B,sensor_fault,M0,8,7,7,0.4375,31,280,0.13272929579171228,49.32743126167649,0.12973885374455102
B,sensor_fault,M1,8,2,1,2.9375,11,280,0.13263227508663633,41.74703377663566,0.12647236056312947
B,sensor_fault,M2,8,5,4,1.625,19,280,0.13723935409133853,38.92193311680656,0.12303009899629647
B,sensor_fault,M3,8,6,5,1.1875,24,280,0.13829735755082745,39.79523646438895,0.12237679965830657
B,sensor_fault,M3_fixed,8,6,5,1.1875,24,280,0.13829735755082745,39.79523646438895,0.12237679965830657
B,sensor_fault,M4,8,6,5,1.1875,31,280,0.1945294646300011,34.46130597083625,0.10787421536535101
C,cancel_exact,M0,4,3,1,1.625,7,96,0.21176539724285176,47.6819507378879,0.13045495333656154
C,cancel_exact,M2,4,3,0,1.75,5,96,0.2009861310654884,39.18917601916722,0.1225280384932737
C,cancel_exact,M3,4,2,0,2.25,7,96,0.19944813651729587,41.84867244809666,0.12243990405616027
C,cancel_exact,M3b,4,1,0,3.0,7,96,0.19720672459766037,41.07223957129164,0.12332697979721224
C,cancel_exact,M3b_fixed,4,1,0,3.0,7,96,0.19720672459766037,41.07223957129164,0.12332697979721224
C,cancel_exact,M4,4,3,0,1.625,19,96,0.15350855996937435,37.64028333875215,0.10614650358756116
C,delayed,M0,4,3,0,2.375,7,96,0.15358510642569084,48.835374079960275,0.13896164185648735
C,delayed,M2,4,2,0,3.0,5,96,0.14936721828809196,41.06192666707212,0.1308439632442663
C,delayed,M3,4,2,0,2.625,7,96,0.1479720303903027,44.25140287728604,0.13062502868536108
C,delayed,M3b,4,1,0,3.125,7,96,0.15050931666441908,42.57399798883261,0.13140359966257978
C,delayed,M3b_fixed,4,1,0,3.125,7,96,0.15050931666441908,42.57399798883261,0.13140359966257978
C,delayed,M4,4,3,0,1.25,16,96,0.1280081805402692,40.199072319349405,0.11414666581025537
C,localized,M0,4,4,4,0.125,13,128,0.460153722913092,53.8101913102969,0.16685415869148146
C,localized,M2,4,3,2,1.75,9,128,0.44968785281822066,45.565375192948714,0.1596366760435976
C,localized,M3,4,2,2,2.0,11,128,0.4389605760539666,49.87642951737895,0.1593353135535741
C,localized,M3b,4,2,2,2.0,11,128,0.4503572254273043,49.14440001029169,0.1599569445331569
C,localized,M3b_fixed,4,2,2,2.0,11,128,0.4503572254273043,49.14440001029169,0.1599569445331569
