family,method,episodes,detected,localized,miss_inclusive_delay_steps,correct_house_unique_sum,false_house_instances,false_group_instances,negative_alarms,negative_steps,negative_alarm_rate,local_mae,regional_mae,requested,read,fine_bytes
cancel_approx,M0,16,2,0,6.375,0,0,66,42,384,0.109375,0.15124345512309728,43.28444906516218,0,0,0
cancel_approx,M1,16,0,0,7.0,0,2,10,20,384,0.052083333333333336,0.14842642973609177,37.17030855228564,31488,31008,552960
cancel_approx,M2,16,0,0,7.0,0,2,22,30,384,0.078125,0.14300389735603375,35.97905756419684,160512,157882,2666496
cancel_approx,M3,16,2,0,6.375,0,10,32,32,384,0.08333333333333333,0.1440469215387628,35.98600734825939,160512,158062,2666496
cancel_approx,M3_fixed,16,2,0,6.375,0,10,32,32,384,0.08333333333333333,0.1440469215387628,35.98600734825939,160512,158062,2666496
cancel_approx,M4,16,6,0,5.0,0,16,38,48,384,0.125,0.11843935108401779,32.579462738188,3220992,3172000,51585024
cancel_exact,M0,16,4,0,5.875,0,0,68,42,384,0.109375,0.15692771835354102,43.68931889047129,0,0,0
cancel_exact,M1,16,0,0,7.0,0,2,10,20,384,0.052083333333333336,0.1533998787152447,38.08385136524283,31488,31008,552960
cancel_exact,M2,16,4,0,5.875,0,2,24,30,384,0.078125,0.14836596904957988,36.418996104217584,160512,157882,2666496
cancel_exact,M3,16,2,0,6.5,0,10,32,32,384,0.08333333333333333,0.1489921687984931,36.83325107989464,160512,158062,2666496
cancel_exact,M3_fixed,16,2,0,6.5,0,10,32,32,384,0.08333333333333333,0.1489921687984931,36.83325107989464,160512,158062,2666496
cancel_exact,M4,16,6,0,5.25,0,12,34,52,384,0.13541666666666666,0.12220291609165906,32.90254015189353,3220992,3172000,51585024
delayed,M0,16,6,2,5.375,0,0,66,42,384,0.109375,0.1432577398882262,43.765233954150546,0,0,0
delayed,M1,16,2,0,6.75,0,2,10,20,384,0.052083333333333336,0.14321727467856032,38.238349717892696,31488,31008,552960
delayed,M2,16,6,0,5.5,0,2,24,30,384,0.078125,0.13869601835567782,36.06143041014236,160512,157882,2666496
delayed,M3,16,4,0,6.0,0,10,32,32,384,0.08333333333333333,0.1360412430150076,36.713826787792485,160512,158062,2666496
delayed,M3_fixed,16,4,0,6.0,0,10,32,32,384,0.08333333333333333,0.1360412430150076,36.713826787792485,160512,158062,2666496
delayed,M4,16,6,0,4.875,2,6,28,52,384,0.13541666666666666,0.11478693910299359,32.61045561112847,3220992,3172000,51585024
localized,M0,16,7,4,4.5625,0,0,24,58,544,0.10661764705882353,0.23881020099721312,49.59797371046943,0,0,0
localized,M1,16,4,2,5.875,0,2,6,22,544,0.04044117647058824,0.23821631831751455,41.57059630088963,31488,31008,552960
localized,M2,16,5,2,5.625,0,2,8,40,544,0.07352941176470588,0.23462370612274194,39.20648654264928,160512,157882,2666496
localized,M3,16,5,3,5.25,0,10,17,44,544,0.08088235294117647,0.23070599710935574,40.03217311670642,160512,158062,2666496
localized,M3_fixed,16,5,3,5.25,0,10,17,44,544,0.08088235294117647,0.23070599710935574,40.03217311670642,160512,158062,2666496
localized,M4,16,6,3,4.6875,0,10,17,66,544,0.1213235294117647,0.18595418993730095,36.35134299632935,3220992,3172000,51585024
none,M0,8,3,0,5.75,0,0,0,36,384,0.09375,,,0,0,0
none,M1,8,1,0,6.75,0,0,0,15,384,0.0390625,,,15744,15504,276480
none,M2,8,3,0,5.875,0,0,0,25,384,0.06510416666666667,,,80256,78941,1333248
none,M3,8,2,0,6.25,0,0,0,30,384,0.078125,,,80256,79031,1333248
none,M3_fixed,8,2,0,6.25,0,0,0,30,384,0.078125,,,80256,79031,1333248
none,M4,8,3,0,5.25,0,0,0,41,384,0.10677083333333333,,,1610496,1586000,25792512
ramp,M0,16,6,2,5.0,0,0,57,44,384,0.11458333333333333,0.19826920942464998,44.021516368453135,0,0,0
ramp,M1,16,2,0,6.5,0,2,8,20,384,0.052083333333333336,0.19777009756880914,36.51371625485074,31488,31008,552960
ramp,M2,16,6,0,5.125,0,2,20,30,384,0.078125,0.19054929272073617,35.159525360678245,160512,157882,2666496
ramp,M3,16,4,0,5.75,0,10,29,33,384,0.0859375,0.18818730454831703,34.8703617803793,160512,158062,2666496
ramp,M3_fixed,16,4,0,5.75,0,10,29,33,384,0.0859375,0.18818730454831703,34.8703617803793,160512,158062,2666496
ramp,M4,16,6,0,5.0,0,10,29,55,384,0.14322916666666666,0.1515472245738791,31.496660972126428,3220992,3172000,51585024
regional,M0,16,12,12,2.0625,0,0,0,58,528,0.10984848484848485,0.1302215745822318,75.9973411744562,0,0,0
regional,M1,16,9,9,3.25,0,0,0,31,528,0.058712121212121215,0.12553408512419284,70.78848237837477,31488,31008,552960
regional,M2,16,12,12,2.5625,2,0,0,41,528,0.07765151515151515,0.12153595299806277,75.50855181577653,160512,157882,2666496
regional,M3,16,12,12,2.0625,2,0,0,53,528,0.10037878787878787,0.12096909023478393,76.48510076683522,160512,158062,2666496
regional,M3_fixed,16,12,12,2.0625,2,0,0,53,528,0.10037878787878787,0.12096909023478393,76.48510076683522,160512,158062,2666496
regional,M4,16,12,12,2.0625,4,0,0,66,528,0.125,0.10619905998505175,91.26221890678976,3220992,3172000,51585024
sensor_fault,M0,8,7,7,0.875,0,0,17,31,280,0.11071428571428571,0.13272929579171228,49.32743126167649,0,0,0
sensor_fault,M1,8,2,1,5.875,0,1,4,11,280,0.039285714285714285,0.13263227508663633,41.74703377663566,15744,15504,276480
sensor_fault,M2,8,5,4,3.25,0,1,6,19,280,0.06785714285714285,0.13723935409133853,38.92193311680656,80256,78941,1333248
sensor_fault,M3,8,6,5,2.375,0,2,8,24,280,0.08571428571428572,0.13829735755082745,39.79523646438895,80256,79031,1333248
sensor_fault,M3_fixed,8,6,5,2.375,0,2,8,24,280,0.08571428571428572,0.13829735755082745,39.79523646438895,80256,79031,1333248
sensor_fault,M4,8,6,5,2.375,0,6,12,31,280,0.11071428571428571,0.1945294646300011,34.46130597083625,1610496,1586000,25792512
