omitted_site,reference,is90_difference,coverage90_difference
Bear,common_corrected,-0.030429460349448156,-0.006272373044789004
Bear,exact_lineage,-0.023176503639857682,-0.006972976890047056
Bear,ci,-0.058396254569935246,0.006615658304866434
Bear,shrinkage,-0.15121361949722645,0.0031811448342330406
Bobcat,common_corrected,-0.02576238847638268,-0.008171708277457723
Bobcat,exact_lineage,-0.02091076987013163,-0.00678304336678015
Bobcat,ci,-0.06695660110009016,0.005476057165265225
Bobcat,shrinkage,-0.15178505575924106,0.00432074597383425
Bull,common_corrected,-0.026119912259466194,-0.007601907707657118
Bull,exact_lineage,-0.02061699765177538,-0.0075427774598476605
Bull,ci,-0.07258409189000115,0.007565325921200516
Bull,shrinkage,-0.15684457646443262,0.0043191086158749226
Crow,common_corrected,-0.028593359590489476,-0.007791841230923913
Crow,exact_lineage,-0.021373398365098772,-0.007732710983114455
Crow,ci,-0.0726792239512497,0.007565325921200627
Crow,shrinkage,-0.15220042887566998,0.004510679497100933
Eagle,common_corrected,-0.029168159933998572,-0.007601907707657118
Eagle,exact_lineage,-0.02034400778366674,-0.00716291041331385
Eagle,ci,-0.07017906834124688,0.00889486058406852
Eagle,shrinkage,-0.14976692298201755,0.004890546543634744
Fox,common_corrected,-0.023042622380334388,-0.007791841230924024
Fox,exact_lineage,-0.01293221245386067,-0.00830251155291517
Fox,ci,-0.0732725832848733,0.006995525351400023
Fox,shrinkage,-0.1390118136421703,0.0007120090317638272
Gator,common_corrected,-0.0026611076003388856,-0.0050861844372169784
Gator,exact_lineage,-0.004280338302079745,-0.005655985007017472
Gator,ci,-0.0903740786184124,0.018257149820571583
Gator,shrinkage,-0.06739543465958597,0.003462461467750755
Hog,common_corrected,-0.02561946720889008,-0.006272373044789115
Hog,exact_lineage,-0.020484582733665935,-0.00678304336678015
Hog,ci,-0.06988039652954225,0.007375392397933833
Hog,shrinkage,-0.15216985053935095,0.005460347113435349
Lamb,common_corrected,-0.028008844199240546,-0.008361641800724517
Lamb,exact_lineage,-0.020340159601765606,-0.00830251155291506
Lamb,ci,-0.07038394276522997,0.007185458874666928
Lamb,shrinkage,-0.1614703748519224,0.00470061302036795
Moose,common_corrected,-0.026690639970722296,-0.007411974184390324
Moose,exact_lineage,-0.020441585921939343,-0.006972976890047167
Moose,ci,-0.07198063819098599,0.007755259444467422
Moose,shrinkage,-0.147131703947885,0.001281809601564321
Mouse,common_corrected,-0.02929302472757822,-0.00327545736350765
Mouse,exact_lineage,-0.020408650875403778,-0.003216327115698192
Mouse,ci,-0.054554255447069044,-0.004234084108297953
Mouse,shrinkage,-0.14616592331397982,0.008837129841250402
Panther,common_corrected,-0.03018025762382326,-0.007032107137856514
Panther,exact_lineage,-0.02256642535143838,-0.006972976890046945
Panther,ci,-0.03560818756813666,0.007185458874666928
Panther,shrinkage,-0.11386452257971502,0.004130812450567234
Peacock,common_corrected,-0.02817887665544294,-0.007032107137856625
Peacock,exact_lineage,-0.02092674019663443,-0.006783043366780261
Peacock,ci,-0.06928408811123066,0.006995525351399912
Peacock,shrinkage,-0.15513084458737625,0.00394087892730044
Rat,common_corrected,-0.03215408051112645,-0.00608243952152232
Rat,exact_lineage,-0.023150627382281463,-0.006593109843513356
Rat,ci,-0.06936463960639361,0.006615658304866323
Rat,shrinkage,-0.16089834833013827,0.006220081206502748
Robin,common_corrected,-0.026620761689081673,-0.009311309417058822
Robin,exact_lineage,-0.02041967413430279,-0.008492445076181965
Robin,ci,-0.062483064326619875,0.005476057165265225
Robin,shrinkage,-0.1545238156598583,0.004510679497101044
Shrew,common_corrected,-0.02870324565237481,-0.008931442370525011
Shrew,exact_lineage,-0.020991148402262017,-0.008872312122715553
Shrew,ci,-0.072289063077835,0.007755259444467422
Shrew,shrinkage,-0.15558112694978155,0.0031811448342330406
