episode,background,family,changed_steps,first_changed_lag,changed_in_detection_window,extra_event_ids_in_detection_window,extra_event_ids_later_in_event,max_fine_z_detection_window,any_fine_alarm_detection_window
fresh_b00_cancel_exact_3.0,0,cancel_exact,0,,0,0,0,10.62647752547613,False
fresh_b00_delayed_3.0,0,delayed,0,,0,0,0,7.825054031314164,False
fresh_b00_localized_3.0,0,localized,0,,0,0,0,10.699921362848798,False
fresh_b02_cancel_exact_3.0,2,cancel_exact,0,,0,0,0,15.846486913378778,False
fresh_b02_delayed_3.0,2,delayed,0,,0,0,0,11.572810821268506,False
fresh_b02_localized_3.0,2,localized,1,6.0,1,0,0,13.631283899531612,False
fresh_b04_cancel_exact_3.0,4,cancel_exact,4,8.0,0,0,120,13.588594680590964,False
fresh_b04_delayed_3.0,4,delayed,0,,0,0,0,13.576365329732152,False
fresh_b04_localized_3.0,4,localized,0,,0,0,0,13.70545969241192,False
fresh_b06_cancel_exact_3.0,6,cancel_exact,0,,0,0,0,12.940066817513989,False
fresh_b06_delayed_3.0,6,delayed,0,,0,0,0,9.289416298027051,False
fresh_b06_localized_3.0,6,localized,7,9.0,0,0,77,10.787277592160084,False
